,time,open,high,low,close,tick_volume,spread,real_volume,data,M9,M20,M200
0,1636390500,1.159,1.15909,1.15872,1.15884,268,5,0,2021-11-08 16:55:00,,,
1,1636390800,1.15883,1.1589800000000001,1.15872,1.15882,260,5,0,2021-11-08 17:00:00,,,
2,1636391100,1.15884,1.15899,1.15848,1.1586400000000001,194,5,0,2021-11-08 17:05:00,,,
3,1636391400,1.1586400000000001,1.1587,1.15842,1.1586,184,5,0,2021-11-08 17:10:00,,,
4,1636391700,1.15861,1.15878,1.15854,1.15866,203,5,0,2021-11-08 17:15:00,,,
5,1636392000,1.15865,1.15894,1.15858,1.15891,135,5,0,2021-11-08 17:20:00,,,
6,1636392300,1.15893,1.159,1.15882,1.15883,109,5,0,2021-11-08 17:25:00,,,
7,1636392600,1.15883,1.15894,1.15873,1.15873,125,5,0,2021-11-08 17:30:00,,,
8,1636392900,1.15872,1.15894,1.15862,1.15887,162,5,0,2021-11-08 17:35:00,1.1587666666666667,,
9,1636393200,1.15887,1.15914,1.15887,1.15907,116,5,0,2021-11-08 17:40:00,1.1587922222222222,,
10,1636393500,1.15907,1.15945,1.15899,1.15945,320,5,0,2021-11-08 17:45:00,1.1588622222222222,,
11,1636393800,1.15944,1.15945,1.15892,1.15906,195,5,0,2021-11-08 17:50:00,1.158908888888889,,
12,1636394100,1.15907,1.15918,1.15892,1.1590799999999999,162,5,0,2021-11-08 17:55:00,1.1589622222222222,,
13,1636394400,1.15907,1.1591,1.15891,1.15895,166,5,0,2021-11-08 18:00:00,1.1589944444444444,,
14,1636394700,1.15893,1.15903,1.15883,1.15884,134,5,0,2021-11-08 18:05:00,1.1589866666666664,,
15,1636395000,1.15886,1.1591,1.15883,1.15907,74,5,0,2021-11-08 18:10:00,1.1590133333333332,,
16,1636395300,1.15909,1.15914,1.15896,1.15896,75,5,0,2021-11-08 18:15:00,1.1590388888888887,,
17,1636395600,1.15893,1.15917,1.15889,1.15901,120,5,0,2021-11-08 18:20:00,1.1590544444444442,,
18,1636395900,1.15902,1.1590799999999999,1.15887,1.1589,82,5,0,2021-11-08 18:25:00,1.1590355555555556,,
19,1636396200,1.15891,1.15905,1.15887,1.15904,91,5,0,2021-11-08 18:30:00,1.1589900000000002,1.1589165,
20,1636396500,1.15904,1.15906,1.15891,1.15897,85,5,0,2021-11-08 18:35:00,1.1589800000000001,1.158923,
21,1636396800,1.1589800000000001,1.15905,1.15868,1.15877,92,5,0,2021-11-08 18:40:00,1.1589455555555557,1.1589205,
22,1636397100,1.15877,1.1588,1.15856,1.15859,49,5,0,2021-11-08 18:45:00,1.1589055555555556,1.1589180000000001,
23,1636397400,1.15861,1.15861,1.15832,1.15848,110,5,0,2021-11-08 18:50:00,1.1588655555555556,1.1589120000000002,
24,1636397700,1.15845,1.15861,1.15839,1.15856,97,5,0,2021-11-08 18:55:00,1.158808888888889,1.1589070000000001,
25,1636398000,1.15854,1.15871,1.15831,1.15844,221,5,0,2021-11-08 19:00:00,1.158751111111111,1.1588835000000002,
26,1636398300,1.15843,1.15859,1.15839,1.15857,122,5,0,2021-11-08 19:05:00,1.158702222222222,1.1588705000000004,
27,1636398600,1.15856,1.15861,1.15844,1.15855,110,5,0,2021-11-08 19:10:00,1.1586633333333334,1.1588615000000004,
28,1636398900,1.15854,1.15858,1.15839,1.15857,86,5,0,2021-11-08 19:15:00,1.1586111111111113,1.1588465000000006,
29,1636399200,1.15859,1.15877,1.15859,1.15867,110,5,0,2021-11-08 19:20:00,1.1585777777777782,1.1588265000000004,
30,1636399500,1.15866,1.15889,1.1586400000000001,1.1587399999999999,76,5,0,2021-11-08 19:25:00,1.1585744444444446,1.1587910000000003,
31,1636399800,1.1587399999999999,1.1587399999999999,1.15859,1.1586,51,5,0,2021-11-08 19:30:00,1.1585755555555557,1.1587680000000005,
32,1636400100,1.15861,1.1587399999999999,1.15854,1.15872,73,5,0,2021-11-08 19:35:00,1.1586022222222225,1.1587500000000004,
33,1636400400,1.1587399999999999,1.15875,1.15863,1.15866,79,5,0,2021-11-08 19:40:00,1.1586133333333337,1.1587355000000004,
34,1636400700,1.15867,1.15882,1.15862,1.1588,60,5,0,2021-11-08 19:45:00,1.1586533333333335,1.1587335000000003,
35,1636401000,1.15877,1.15883,1.1587,1.15871,39,5,0,2021-11-08 19:50:00,1.158668888888889,1.1587155000000002,
36,1636401300,1.15872,1.15877,1.15867,1.1587,69,5,0,2021-11-08 19:55:00,1.1586855555555555,1.1587025000000002,
37,1636401600,1.15872,1.15883,1.1587,1.15875,57,5,0,2021-11-08 20:00:00,1.1587055555555557,1.1586895000000004,
